{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 60.0, 'test-acc': 0.7913765, 'test gap-rms-gender': 0.013069011, 'test gap-rms-race': 0.0136483, 'test bal-acc': 0.5720217}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 10.0, 'test-acc': 0.83836377, 'test gap-rms-gender': 0.08113467, 'test gap-rms-race': 0.04969745, 'test bal-acc': 0.80463076}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 50.0, 'test-acc': 0.8362631, 'test gap-rms-gender': 0.1014369, 'test gap-rms-race': 0.049022313, 'test bal-acc': 0.7992302}
{'epsilon': 0.0001, 'lr': 0.0001, 'wlr': 5e-06, 'w_reg': 20.0, 'test-acc': 0.820785, 'test gap-rms-gender': 0.12703046, 'test gap-rms-race': 0.06150548, 'test bal-acc': 0.8268187}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 40.0, 'test-acc': 0.26777226, 'test gap-rms-gender': 0.017547136, 'test gap-rms-race': 0.0114524225, 'test bal-acc': 0.5152065}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 30.0, 'test-acc': 0.8434494, 'test gap-rms-gender': 0.03933247, 'test gap-rms-race': 0.011424931, 'test bal-acc': 0.7084406}
{'epsilon': 1e-05, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 40.0, 'test-acc': 0.81779987, 'test gap-rms-gender': 0.09149293, 'test gap-rms-race': 0.055999015, 'test bal-acc': 0.8219143}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 1e-06, 'w_reg': 40.0, 'test-acc': 0.8533997, 'test gap-rms-gender': 0.07898713, 'test gap-rms-race': 0.049806546, 'test bal-acc': 0.7640941}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 1e-06, 'w_reg': 40.0, 'test-acc': 0.8069652, 'test gap-rms-gender': 0.033660665, 'test gap-rms-race': 0.005682577, 'test bal-acc': 0.60577947}
{'epsilon': 1e-05, 'lr': 0.0001, 'wlr': 5e-06, 'w_reg': 30.0, 'test-acc': 0.818021, 'test gap-rms-gender': 0.13589631, 'test gap-rms-race': 0.06414982, 'test bal-acc': 0.8294687}
{'epsilon': 1e-05, 'lr': 0.0001, 'wlr': 5e-06, 'w_reg': 40.0, 'test-acc': 0.81768936, 'test gap-rms-gender': 0.13715543, 'test gap-rms-race': 0.07053874, 'test bal-acc': 0.8289409}
{'epsilon': 0.0001, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 50.0, 'test-acc': 0.8077391, 'test gap-rms-gender': 0.07780861, 'test gap-rms-race': 0.038847845, 'test bal-acc': 0.8004514}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 0.0001, 'w_reg': 20.0, 'test-acc': 0.85085684, 'test gap-rms-gender': 0.041694093, 'test gap-rms-race': 0.022749726, 'test bal-acc': 0.74806064}
{'epsilon': 0.0001, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 30.0, 'test-acc': 0.8211166, 'test gap-rms-gender': 0.08751901, 'test gap-rms-race': 0.051878657, 'test bal-acc': 0.8194752}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 30.0, 'test-acc': 0.8384743, 'test gap-rms-gender': 0.07946591, 'test gap-rms-race': 0.043319065, 'test bal-acc': 0.8048581}
{'epsilon': 1e-05, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 30.0, 'test-acc': 0.8187949, 'test gap-rms-gender': 0.0965383, 'test gap-rms-race': 0.05666909, 'test bal-acc': 0.8239607}
{'epsilon': 1e-05, 'lr': 0.0001, 'wlr': 1e-06, 'w_reg': 40.0, 'test-acc': 0.8333886, 'test gap-rms-gender': 0.22869827, 'test gap-rms-race': 0.0681713, 'test bal-acc': 0.81616086}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 5e-06, 'w_reg': 30.0, 'test-acc': 0.83935875, 'test gap-rms-gender': 0.08789145, 'test gap-rms-race': 0.044634536, 'test bal-acc': 0.81053567}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 40.0, 'test-acc': 0.82741845, 'test gap-rms-gender': 0.09834483, 'test gap-rms-race': 0.03645613, 'test bal-acc': 0.79894364}
{'epsilon': 1e-05, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 40.0, 'test-acc': 0.8084024, 'test gap-rms-gender': 0.07247574, 'test gap-rms-race': 0.041467905, 'test bal-acc': 0.80536544}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 1e-06, 'w_reg': 30.0, 'test-acc': 0.8519624, 'test gap-rms-gender': 0.0909629, 'test gap-rms-race': 0.04927962, 'test bal-acc': 0.78058517}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 50.0, 'test-acc': 0.244555, 'test gap-rms-gender': 0.00084538147, 'test gap-rms-race': 0.00080386683, 'test bal-acc': 0.5009495}
{'epsilon': 0.0001, 'lr': 0.0001, 'wlr': 5e-06, 'w_reg': 40.0, 'test-acc': 0.8259812, 'test gap-rms-gender': 0.10801644, 'test gap-rms-race': 0.059297986, 'test bal-acc': 0.8240777}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 60.0, 'test-acc': 0.24311775, 'test gap-rms-gender': 0.0, 'test gap-rms-race': 0.0, 'test bal-acc': 0.5}
